=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.06.18 14:58:48 =~=~=~=~=~=~=~=~=~=~=~=
48,29.94,1.654
49,29.94,1.645
50,29.94,1.644
51,29.94,1.640
52,29.94,1.659
53,29.88,1.651
54,29.94,1.641
55,29.94,1.642
56,29.94,1.650
57,29.94,1.646
58,29.94,1.655
59,29.88,1.637
60,29.88,1.648
61,29.88,1.657
62,29.88,1.643
63,29.88,1.642
64,29.88,1.641
65,29.88,1.646
66,29.88,1.657
67,29.88,1.655
68,29.88,1.654
69,29.88,1.646
70,29.88,1.639
71,29.81,1.646
72,29.88,1.642
73,29.88,1.642
74,29.81,1.639
75,29.88,1.654
76,29.88,1.641
77,29.88,1.638
78,29.88,1.646
79,29.88,1.654
80,29.88,1.651
81,29.88,1.645
82,29.88,1.650
83,29.94,1.654
84,29.88,1.646
85,29.94,1.646
86,29.94,1.646
87,29.94,1.655
88,29.94,1.657
89,29.94,1.655
90,30.00,1.638
91,30.00,1.638
92,30.00,1.653
93,30.06,1.653
94,30.06,1.647
95,30.12,1.641
96,30.12,1.638
97,30.12,1.636
98,30.12,1.635
99,30.25,1.641
100,30.25,1.646
101,30.25,1.631
102,30.31,1.629
103,30.38,1.636
104,30.38,1.638
105,30.44,1.638
106,30.44,1.638
107,30.50,1.634
108,30.50,1.629
109,30.56,1.623
110,30.62,1.610
111,30.69,1.617
112,30.75,1.611
113,30.81,1.625
114,30.81,1.621
115,30.88,1.603
116,30.94,1.608
117,31.00,1.603
118,31.06,1.606
119,31.12,1.610
120,31.19,1.601
121,31.25,1.611
122,31.31,1.589
123,31.38,1.589
124,31.44,1.592
125,31.56,1.593
126,31.56,1.593
127,31.69,1.590
128,31.75,1.557
129,31.81,1.585
130,31.88,1.581
131,32.00,1.582
132,32.06,1.567
133,32.12,1.570
134,32.19,1.561
135,32.31,1.565
136,32.38,1.555
137,32.44,1.570
138,32.50,1.563
139,32.56,1.550
140,32.62,1.560
141,32.69,1.555
142,32.75,1.557
143,32.88,1.550
144,32.94,1.537
145,33.00,1.542
146,33.06,1.543
147,33.12,1.535
148,33.19,1.525
149,33.25,1.526
150,33.31,1.526
151,33.44,1.536
152,33.50,1.517
153,33.62,1.531
154,33.62,1.501
155,33.75,1.512
156,33.81,1.522
157,33.88,1.522
158,33.94,1.515
159,34.00,1.513
160,34.06,1.506
161,34.19,1.507
