1030,91.5,0.351
1031,91.44,0.356
1032,91.44,0.356
1033,91.38,0.353
1034,91.38,0.356
1035,91.5,0.352
1036,91.81,0.35
1037,92.12,0.355
1038,92.44,0.352
1039,92.81,0.349
1040,93.12,0.35
1041,93.25,0.348
1042,92.81,0.351
1043,92.5,0.349
1044,92.25,0.355
1045,92.12,0.351
1046,92,0.355
1047,91.94,0.356
1048,91.88,0.351
1049,91.81,0.352
1050,91.75,0.352
1051,91.75,0.348
1052,91.69,0.343
1053,91.69,0.347
1054,91.62,0.34
1055,91.62,0.338
1056,91.56,0.339
1057,91.5,0.338
1058,91.44,0.338
1059,91.38,0.338
1060,91.31,0.342
1061,91.25,0.338
1062,91.25,0.338
1063,91.19,0.342
1064,91.19,0.339
1065,91.12,0.338
1066,91.06,0.331
1067,91,0.338
1068,91,0.342
1069,90.94,0.338
1070,90.81,0.339
1071,90.75,0.339
1072,90.75,0.342
1073,90.69,0.346
1074,90.62,0.34
1075,90.56,0.345
1076,90.44,0.346
1077,90.38,0.348
1078,90.31,0.344
1079,90.25,0.346
1080,90.19,0.35
1081,90.12,0.349
1082,90.06,0.351
1083,89.94,0.349
1084,89.94,0.349
1085,89.81,0.35
1086,89.75,0.35
1087,89.69,0.353
1088,89.62,0.355
1089,89.56,0.353
1090,89.44,0.355
1091,89.38,0.35
1092,89.25,0.356
1093,89.19,0.355
1094,89.12,0.357
1095,89.06,0.359
1096,89,0.359
1097,88.88,0.359
1098,88.81,0.351
1099,88.69,0.365
1100,88.69,0.366
1101,88.56,0.365
1102,88.5,0.363
1103,88.38,0.367
1104,88.31,0.367
1105,88.19,0.367
1106,88.12,0.368
1107,88,0.371
1108,87.94,0.371
1109,87.81,0.372
1110,87.69,0.372
1111,87.62,0.371
1112,87.56,0.375
1113,87.44,0.375
1114,87.38,0.377
1115,87.25,0.38
1116,87.19,0.378
1117,87.06,0.384
1118,87,0.384
1119,86.88,0.391
1120,86.81,0.394
1121,86.69,0.393
1122,86.62,0.396
1123,86.5,0.405
1124,86.38,0.401
1125,86.31,0.397
1126,86.19,0.403
1127,86.06,0.401
1128,86,0.403
1129,85.88,0.404
1130,85.81,0.403
1131,85.69,0.406
1132,85.56,0.409
1133,85.5,0.409
1134,85.44,0.407
1135,85.31,0.409
1136,85.19,0.411
1137,85.12,0.41
1138,85,0.411
1139,84.94,0.41
1140,84.88,0.412
1141,84.75,0.412
1142,84.69,0.413
1143,84.5,0.413
1144,84.44,0.413
1145,84.38,0.412
1146,84.25,0.417
1147,84.19,0.417
1148,84,0.417
1149,83.94,0.423
1150,83.88,0.419
1151,83.75,0.421
1152,83.69,0.423
1153,83.56,0.423
1154,83.5,0.428
1155,83.38,0.428
1156,83.25,0.43
1157,83.19,0.424
1158,83.06,0.427
1159,83,0.43
1160,82.88,0.432
1161,82.81,0.429
1162,82.69,0.432
1163,82.56,0.432
1164,82.5,0.436
1165,82.38,0.43
1166,82.31,0.438
1167,82.19,0.44
1168,82.12,0.437
1169,82,0.446
1170,81.88,0.439
1171,81.81,0.443
1172,81.69,0.446
1173,81.62,0.442
1174,81.5,0.443
1175,81.38,0.443
1176,81.31,0.446
1177,81.25,0.446
1178,81.12,0.449
1179,81.06,0.449
1180,80.94,0.45
1181,80.88,0.449
1182,80.75,0.455
1183,80.69,0.455
1184,80.56,0.455
1185,80.5,0.453
1186,80.38,0.459
1187,80.31,0.459
1188,80.19,0.462
1189,80.12,0.462
1190,80,0.465
